ticker,qtd,paid_price,industry,current_price,invested_value,current_value,active
BTAL11.SA,23,82.29,Logistica,72.0,1892.67,1656.0,true
IRDM11.SA,33,95.64,Papel,76.08,3156.12,2510.64,true
MXRF11.SA,200,10.31,Papel,10.29,2062.0,2058.0,true
RZTR11.SA,28,96.79,Agro,98.0,2710.1200000000003,2744.0,true
SNAG11.SA,198,10.08,Agro,10.06,1995.84,1991.88,true
TAEE3.SA,66,11.79,Energia,11.8,778.14,778.8000000000001,true
TGAR11.SA,35,123.41,Desenvolvimento,126.65,4319.349999999999,4432.75,true
VISC11.SA,10,118.75,Shopping,120.62,1187.5,1206.2,true
BBDC3.SA,58,12.49,Energia,12.18,724.42,706.4399999999999,true
XPML11.SA,9,106.55,Shopping,118.09,958.9499999999999,1062.81,true
